Country,city,location,parameter_name,parameter_description,measurement_datetime,measurement_value,unit,Source Of Data Flow,Link to raw data (only E1a/validated data from AQ e-Reporting)
Bosnia and Herzegovina,VISOKO,,PM10,Particulate matter < 10 µm (aerosol),26-08-15,34.996,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,BIHAC,,O3,Ozone (air),27-03-21,33.654,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,VISOKO,,PM10,Particulate matter < 10 µm (aerosol),12-07-17,5.477,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,BIHAC,,O3,Ozone (air),04-10-19,0,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2021&Year_to=2021&Station=STA-BA0055A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,VISOKO,,O3,Ozone (air),06-07-19,32,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,BIHAC,,O3,Ozone (air),06-09-15,90.036,ug/m3,Mixed E1a/validated and E2a/UTD data AQ e-Reporting,
Bosnia and Herzegovina,VISOKO,,O3,Ozone (air),09-11-16,0,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2021&Year_to=2021&Station=STA-BA0058A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,BIHAC,,O3,Ozone (air),10-07-14,2.333,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2020&Year_to=2020&Station=STA-BA0055A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,VISOKO,,O3,Ozone (air),03-03-18,50.693,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2021&Year_to=2021&Station=STA-BA0058A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,BIHAC,,O3,Ozone (air),26-08-10,17169.584,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2021&Year_to=2021&Station=STA-BA0055A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
