Country,City,Location,Air Pollutant,Air Pollutant Description,Year,Air Pollution Level,Unit Of Air Pollution Level,Source Of Data Flow,Link to raw data (only E1a/validated data from AQ e-Reporting)
Bosnia and Herzegovina,TUZLA1 , MS2,O3,Ozone (air),2023,,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,TUZLA1 , MS2,O3,Ozone (air),2021,14606.287,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,TUZLA1 , MS2,O3,Ozone (air),2019,70.372,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,NO2,Nitrogen dioxide (air),2022,66.854,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,CO,Carbon monoxide (air),2022,1970.303,mg/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),2018,71.611,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,NO,Nitrogen monoxide (air),2022,12.444,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,NO2,Nitrogen dioxide (air),2019,18.307,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2023,202.154,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,NO2,Nitrogen dioxide (air),2018,0,count,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2021,33,count,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,NO2,Nitrogen dioxide (air),2020,2.533,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2023,5,count,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2023,1.708,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,NO2,Nitrogen dioxide (air),2023,6.316,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2023,35.814,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,NO2,Nitrogen dioxide (air),2018,14.72,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,BANJA LUKA,AUTOMATSKA STANICA,PM10,Particulate matter < 10 µm (aerosol),2022,82.499,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,BANJA LUKA,AUTOMATSKA STANICA,NO2,Nitrogen dioxide (air),2023,19.687,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,BANJA LUKA,AUTOMATSKA STANICA,PM10,Particulate matter < 10 µm (aerosol),2022,82.499,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,BANJA LUKA,AUTOMATSKA STANICA,NO2,Nitrogen dioxide (air),2018,0.066,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,BANJA LUKA,AUTOMATSKA STANICA,PM10,Particulate matter < 10 µm (aerosol),2023,97.517,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,BANJA LUKA,AUTOMATSKA STANICA,NO2,Nitrogen dioxide (air),2021,0,count,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,BANJA LUKA,AUTOMATSKA STANICA,O3,Ozone (air),2022,2583.775,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,BANJA LUKA,AUTOMATSKA STANICA,NO2,Nitrogen dioxide (air),2020,0,count,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,TUZLA1 , MS2,O3,Ozone (air),2022,71.674,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,TUZLA1 , MS2,NO2,Nitrogen dioxide (air),2023,0,count,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,TUZLA1 , MS2,O3,Ozone (air),2023,35.751,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,TUZLA1 , MS2,NOX as NO2,Nitrogen oxides (air),2022,422.746,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,TUZLA1 , MS2,O3,Ozone (air),2022,0,count,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,TUZLA1 , MS2,NO,Nitrogen monoxide (air),2023,80.61,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,BANJA LUKA,AUTOMATSKA STANICA,PM2.5,Particulate matter < 2.5 µm (aerosol),2023,170.667,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,BANJA LUKA,AUTOMATSKA STANICA,NO,Nitrogen monoxide (air),2022,2.116,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,BANJA LUKA,AUTOMATSKA STANICA,PM2.5,Particulate matter < 2.5 µm (aerosol),2022,0.166,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,BANJA LUKA,AUTOMATSKA STANICA,SO2,Sulphur dioxide (air),2022,16.724,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,PM2.5,Particulate matter < 2.5 µm (aerosol),2023,30.574,ug/m3,Mixed E1a/validated and E2a/UTD data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2021,358.908,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2021,0,count,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2021,111.556,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2023,17,count,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),2022,49.177,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2021,52.386,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,O3,Ozone (air),2022,74.189,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),2022,71.208,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,O3,Ozone (air),2022,99.102,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SKVER , MS1,PM10,Particulate matter < 10 µm (aerosol),2022,30,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SKVER , MS1,O3,Ozone (air),2021,26.761,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SKVER , MS1,PM10,Particulate matter < 10 µm (aerosol),2023,46,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SKVER , MS1,O3,Ozone (air),2022,27.745,ug/m3,Mixed E1a/validated and E2a/UTD data AQ e-Reporting,
Bosnia and Herzegovina,SKVER , MS1,PM10,Particulate matter < 10 µm (aerosol),2023,88.875,ug/m3,E2a/UTD AQ e-Reporting,
